transpower_customer,type,mean_demand_forecast_MWh,mean_generation_forecast_MWh,total_bill,current_charges_total,proposal,cap_on_increase,increase,cap_breach,capped_charges_before_funding_cap,dollars_until_cap_reached,proposal_pct,proposal_pct_after_cap,cap_funding_round1,cap_funding_round1_adj,capped_proposal,cap_proposal_diff
Alpine Energy,Distributor,855507.2148320497,0,124643806.11240372,11931254.361196669,9709164.982781107,4362533.213934131,-2222089.378415562,0,9709164.982781107,6584622.592349693,0.015247146390912028,0.015247146390912028,227360.54085800785,227360.54085800785,9936525.523639115,227360.54085800797
Aurora Energy,Distributor,1472465.9826441766,0,206373455.69831324,19993245.54569744,20745253.486923415,7223070.949440964,752007.9412259758,0,20745253.486923415,6471063.008214988,0.03257807621898051,0.03257807621898051,485793.78982520243,485793.78982520243,21231047.276748616,485793.78982520103
Buller Electricity,Distributor,57385.01870900535,0,12014987.403175402,601608.2327604177,661362.0014059927,420524.5591111391,59753.76864557492,0,661362.0014059927,360770.7904655642,0.0010385942839273182,0.0010385942839273182,15487.183770105172,15487.183770105172,676849.1851760978,15487.183770105126
Centralines,Distributor,123187.34464212955,0,23471050.848159716,1957883.815825765,1325306.8110117922,821486.7796855901,-632577.0048139729,0,1325306.8110117922,1454063.7844995628,0.0020812445762541172,0.0020812445762541172,31034.849432348554,31034.849432348554,1356341.6604441407,31034.849432348507
Counties Power,Distributor,619281.2246442833,0,98701363.84832124,10929294.192284673,9638835.261116952,3454547.734691244,-1290458.9311677217,0,9638835.261116952,4745006.665858965,0.015136701510868563,0.015136701510868563,225713.62234500353,225713.62234500353,9864548.883461956,225713.62234500423
Eastland Network,Distributor,323836.1606665509,0,61137307.04999132,5146886.124565667,3589613.9834219045,2139805.7467496963,-1557272.141143762,0,3589613.9834219045,3697077.8878934584,0.005637083105412563,0.005637083105412563,84058.36940557342,84058.36940557342,3673672.3528274777,84058.36940557323
Electra,Distributor,466005.3474770678,154400.76013288117,77998025.06078008,5877038.434577434,6992037.332207499,2729930.877127303,1114998.8976300647,0,6992037.332207499,1614931.979497238,0.010980204473191743,0.010980204473191743,163733.2759685704,163733.2759685704,7155770.608176069,163733.27596857026
Electricity Ashburton,Distributor,674420.9526475307,0,99105513.4485648,13634476.549731327,10587911.38672598,3468692.970699768,-3046565.1630053464,0,10587911.38672598,6515258.133705115,0.016627118312822573,0.016627118312822573,247938.23811953972,247938.23811953972,10835849.62484552,247938.23811953887
Electricity Invercargill,Distributor,482026.70757567853,0,56535952.06817589,8498361.178139504,6254700.518470152,1978758.3223861563,-2243660.6596693518,0,6254700.518470152,4222418.982055508,0.009822300332269244,0.009822300332269244,146466.98200166906,146466.98200166906,6401167.500471821,146466.98200166877
Electricity Southland,Distributor,19447.15389995486,0,3289387.5424966146,554131.6167772755,299841.76751682436,115128.56398738152,-254289.8492604511,0,299841.76751682436,369418.4132478326,4.7086761132874466e-4,4.7086761132874466e-4,7021.426307550384,7021.426307550384,306863.19382437476,7021.426307550399
