transpower_customer,charge_dollars_adjusted,type,total_benefit,mean_AMD,mean_AMD_pct,residual_charge,proposal
Alpine Energy,2286198.537533623,Distributor,1303668.5444503825,78.80675,0.018179215681321654,8405496.438330725,9709164.982781107
Aurora Energy,3968611.3506846502,Distributor,2159364.8702885257,174.25424999999998,0.040197135323267914,18585888.61663489,20745253.486923415
B.E.R. (Kupe) Ltd,60062.26118178687,Industrial,97504.30050554083,4.492,0.0010362188117197684,479114.9235437524,576619.2240492932
Buller Electricity,568360.7730454195,Distributor,103532.29300576437,5.23,0.0012064613502436308,557829.7084002283,661362.0014059927
Centralines,655358.7756014664,Distributor,239165.43853251392,10.183250000000001,0.0023490817485408134,1086141.3724792781,1325306.8110117922
Contact Energy,3467060.6391959162,Generator,17929286.389644578,15.24825,0.0035174807426104097,1626372.2468668795,19555658.636511456
Counties Power,862524.5773143667,Distributor,2796248.607607574,64.15350000000001,0.014798990101884279,6842586.653509378,9638835.261116952
Daiken Southland,120345.02869019477,Industrial,151555.9426473526,4.50275,0.0010386986318947434,480261.51424457505,631817.4568919276
Eastland Network,255183.26131527132,Distributor,386759.51762394066,30.02875,0.0069270604724910945,3202854.465797964,3589613.9834219045
Electra,1386454.9033870143,Distributor,1057257.1998494493,55.642250000000004,0.012835606895907011,5934780.13235805,6992037.332207499
Electricity Ashburton,737038.9574360527,Distributor,812745.6940125533,91.64825,0.02114150505592081,9775165.692713428,10587911.38672598
Electricity Invercargill,368682.8152582882,Distributor,847752.0819908079,50.6935,0.01169402456186912,5406948.436479344,6254700.518470152
Electricity Southland,127294.89661769068,Distributor,46391.8928349807,2.37625,5.481555991427204e-4,253449.87468184365,299841.76751682436
Genesis Power,4219452.967777264,Generator,6014452.77109697,9.1015,0.0020995426346543796,970762.3500964968,6985215.121193467
Horizon Energy,1969031.7315329686,Distributor,303711.4726645629,52.226,0.012047543112394619,5570404.273596619,5874115.746261182
MainPower,2456950.9002533616,Distributor,1285974.0069219177,78.292,0.018060472664105993,8350593.409191333,9636567.41611325
Marlborough Lines,503839.8677078807,Distributor,716539.7929267599,36.529250000000005,0.008426601965274791,3896195.196095419,4612734.989022179
Mercury,2848812.157224974,Generator,4739342.8307409035,12.4055,0.0028617124819211017,1323165.6687493369,6062508.499490241
Meridian,14173126.78250851,Generator,36056894.33858508,14.804,0.003415000732123654,1578988.719532883,37635883.05811796
