transpower_customer,average_use_kWh,current_charge,capped_proposal,mean_demand_forecast_MWh,current_charge_dollarsperMWh,capped_proposal_dollarsperMWh,current_impact,proposed_impact,impact_diff,ACOT_dollarsperMWh,ACOT_impact,total_impact_no_ACOT
Alpine Energy,8339,10569635.055376027,9936525.523639115,855507.2148320497,12.35481696954598,11.61477700172268,103.02681870904394,96.85562541736543,-6.171193291678506,0,0,-6.171193291678506
Aurora Energy,8233,17647163.047501396,21231047.276748616,1472465.9826441766,11.984767903304329,14.418701366956554,98.67059414790454,118.70916835415332,20.038574206248782,4.4804192950882165,36.887292056461284,-16.848717850212502
Buller Electricity,5481,534285.5421412681,676849.1851760978,57385.01870900535,9.310540523661508,11.794876091412354,51.03107261018873,64.64771585703112,13.616643246842386,0,0,13.616643246842386
Centralines,6956,1739029.5116994043,1356341.6604441407,123187.34464212955,14.116949405407214,11.010397735128041,98.19750006401257,76.58832664555065,-21.60917341846192,0,0,-21.60917341846192
Counties Power,7998,9707606.237304613,9864548.883461956,619281.2246442833,15.675602377386278,15.929029479503722,125.37346781433546,127.40037777707077,2.026909962735317,0.7878795296599891,6.3014604782205925,-4.274550515485275
Eastland Network,6319,4571561.801383415,3673672.3528274777,323836.1606665509,14.116897235854651,11.344231432542832,89.20467363336554,71.68419842223815,-17.52047521112739,1.9920659838363528,12.587864951861915,-30.108340162989307
Electra,6465,5220096.921231893,7155770.608176069,466005.3474770678,11.201796180007944,15.355554709655356,72.41961230375136,99.27366119792187,26.854048894170504,5.135707160780538,33.20234679444618,-6.348297900275675
Electricity Ashburton,8725,12110399.256270505,10835849.62484552,674420.9526475307,17.956736380638077,16.06689350665623,156.67252492106724,140.1836458455756,-16.48887907549164,0,0,-16.48887907549164
Electricity Invercargill,8480,7548405.462267896,6401167.500471821,482026.70757567853,15.6597245414722,13.279694672243515,132.79446411168425,112.61181082062501,-20.18265329105924,0,0,-20.18265329105924
Electricity Southland,8233,492190.20411328814,306863.19382437476,19447.15389995486,25.3091124102448,15.779336935523867,208.36992247354544,129.911280990168,-78.45864148337745,0,0,-78.45864148337745
Horizon Energy,6322,2563053.822679218,5507213.034493376,545846.3090086618,4.695559501600561,10.089310752133315,29.68532716911875,63.78462257498681,34.09929540586806,6.301976331483106,39.841094367636195,-5.741798961768133
MainPower,8887,8861429.264794972,9862227.932092512,683814.4911990821,12.958820526392007,14.422373405393767,115.16503801804578,128.17163245373442,13.00659443568864,0,0,13.00659443568864
Marlborough Lines,7215,5503523.360311021,4720751.890969841,423476.58858298534,12.996051041987034,11.147610088118844,93.76650826793644,80.43000678577746,-13.33650148215898,0,0,-13.33650148215898
Nelson Electricity,6979,676431.0639971473,861515.8098060521,55077.23354681183,12.281500366612054,15.641958652004977,85.71259105858553,109.16522943234273,23.452638373757196,0,0,23.452638373757196
Network Tasman,6979,7235624.467581345,9533969.893921755,787642.471254779,9.1864325904803,12.104438551584655,64.11211304896202,84.4768766515093,20.364763602547285,2.267452638955398,15.824551967269722,4.540211635277563
Network Waitaki,7577,2772364.56701041,4337402.909451835,289611.4029622185,9.572705144389916,14.976630288337349,72.53238687904239,113.47792769473209,40.9455408156897,0,0,40.9455408156897
Northpower,6369,13326330.103257004,14728373.336522559,1151751.8946420972,11.570486808183732,12.787800397844666,73.69243048132219,81.44550073387269,7.753070252550501,1.1274303138033999,7.180603668613855,0.5724665839366461
Orion,8790,43927816.181482665,48922802.33516217,3493621.692714034,12.573718635046934,14.003463064472871,110.52298680206253,123.09044033671654,12.567453534654007,0,0,12.567453534654007
OtagoNet JV,6982,3787275.2070749216,4688858.028596981,454793.3832971845,8.327463296888224,10.309864217028526,58.14234873887358,71.98347196329317,13.84112322441959,2.9397899114252066,20.525613161570792,-6.684489937151202
Powerco,6371,69360347.902749,65198650.63448248,5389671.427852535,12.869123624922901,12.096962033260771,81.9891866143838,77.069745113904375,-4.919441500479422,1.33502331196225,8.505433520511495,-13.424875020990918
Scanpower,7110,1171173.838163255,1007143.3441457464,87680.56710664064,13.357279461238273,11.486505817427231,94.97025696940412,81.66905636190761,-13.301200607496511,0,0,-13.301200607496511
The Lines Company,8033,3132732.7605388095,4739503.177401218,343587.9839321023,9.117701744650885,13.79414705706882,73.24249811478056,110.80838330943384,37.565885194653276,5.071487017847349,40.73925521436775,-3.1733700197144756
The Power Company,8517,6598957.028802203,7018244.533493848,617862.9640106839,10.6802922543972,11.358901475396557,90.96404913070096,96.74376386595247,5.779714735251517,0.10241915066284141,0.8723039061954203,4.907410829056096
Top Energy,6065,3569404.566003275,4763227.872064204,380234.7051609611,9.38737184574531,12.527072903689401,56.93441024444531,75.97669716087621,19.042286916430903,7.227212462988354,43.83304358802437,-24.790756671593464
Unison Networks,7101,21658830.387821324,21311926.43444221,1771249.9475879367,12.227992112189483,12.032139486278881,86.83097198865752,85.44022249206633,-1.390749496591198,2.8587902045646256,20.300269242613407,-21.691018739204605
Vector,7119,151816838.7879204,159847651.7352389,9256592.172460137,16.40094280480457,17.268520504858323,116.75831182740372,122.93459747408642,6.1762856466827,0.11049141854201144,0.7865884086005794,5.389697238082121
Waipa Networks,7648,5652484.055536269,4976351.906953289,421950.24739040923,13.39609134132421,11.793693540245568,102.45330657844757,90.1981681957981,-12.255138382649463,0,0,-12.255138382649463
WEL Networks,7026,16741486.507497052,18121396.458513066,1350116.472255449,12.40003129472927,13.422098634379452,87.12261987676786,94.30366500515004,7.181045128382181,2.5441279108770884,17.875042701822423,-10.693997573440242
Wellington Electricity,7160,43747313.013461865,36959662.815811045,2600158.909884159,16.8248612987315,14.214386157443606,120.46600689891753,101.77500488729622,-18.691002011621308,0.9710552652770319,6.952755699383548,-25.643757711004856
Westpower,6151,1570955.4538011923,3088876.749854109,278220.9109065333,5.646431997805318,11.102245118059436,34.73120321850051,68.28990972118359,33.55870650268308,4.887526230754168,30.063173845368887,3.495532657314193
